customer_id,join_date,last_purchase_date,age,gender,location,responded_to_Buy_One_Get_One,responded_to_Discount,responded_to_Free_Shipping,Buy_One_Get_One_response_date,Discount_response_date,Free_Shipping_response_date,number_of_site_visits,number_of_emails_opened,number_of_clicks,customer_life_months,total_spend,monthly_spend,CLV
33,2022-03-05,2024-01-08,56.0,Male,Jennifershire,0,2,0,,2022-10-11,,140,17,49.0,22.466666666666665,2706.25,120.45623145400594,1624.7690407346406
34,2021-08-08,2023-04-29,44.0,Female,Port Christopher,1,0,0,2023-03-09,,,132,21,4.0,20.966666666666665,483.07,23.039904610492847,310.77282811144386
35,2022-07-26,2023-03-31,37.0,Female,Seanland,0,1,0,,2023-03-05,,20,9,7.0,8.266666666666667,7448.71,901.053629032258,12153.825691053702
37,2023-06-17,2024-04-22,54.0,Female,North Karen,0,0,0,,,,34,54,25.0,10.333333333333334,7184.76,695.2993548387096,9378.517426191112
38,2023-02-27,2024-03-30,43.0,Female,Tammybury,0,0,1,,,2023-08-06,101,37,37.0,13.233333333333333,7710.39,582.6491183879094,7859.039235587216
39,2022-12-11,2023-01-26,43.0,Female,East Mathewshire,0,0,1,,,2023-01-18,6,4,1.0,1.5333333333333334,5277.56,3441.886956521739,7631.0
40,2024-02-19,2024-05-25,27.0,Female,Martinborough,1,0,0,2024-03-19,,,37,2,3.0,3.2,2380.87,744.0218749999999,7631.0
41,2021-06-21,2024-05-28,21.0,Male,New Dylan,0,0,0,,,,363,86,5.0,35.733333333333334,8014.9800000000005,224.29981343283583,3025.459026147441
42,2022-06-29,2024-04-21,58.0,Male,West Reginaburgh,0,1,0,,2023-02-13,,273,80,36.0,22.066666666666666,12378.94,560.9791540785499,7566.744792214099
43,2023-04-08,2023-07-05,58.0,Male,Lake Nancy,0,0,0,,,,34,2,5.0,2.933333333333333,12824.060000000001,4371.838636363637,7631.0
44,2020-02-18,2022-12-15,19.0,Female,South Michaelshire,0,0,0,,,,363,99,4.0,34.36666666666667,14693.92,427.5631425800194,5767.168278782506
45,2020-02-11,2023-12-03,23.0,Male,Lake Patriciaberg,0,0,0,,,,244,94,69.04999999999927,46.36666666666667,8848.55,190.8386053199137,2574.118864237979
46,2021-10-07,2023-09-07,66.0,Female,Port Christopherview,0,1,0,,2023-05-09,,295,76,54.0,23.333333333333332,12179.8,521.9914285714285,7040.860422364636
47,2020-06-17,2023-05-29,31.0,Female,East Nicole,0,2,0,,2020-11-10,,95,139,9.0,35.86666666666667,14416.11,401.9361524163569,5421.499651078269
48,2022-11-04,2024-05-15,21.0,Male,Davidville,0,0,0,,,,206,100,3.0,18.6,13259.32,712.8666666666666,9615.473406321493
49,2023-03-23,2024-05-06,50.0,Male,Lambview,0,1,0,,2023-08-15,,42,35,18.0,13.666666666666666,10033.130000000001,734.1314634146343,9902.302763313332
50,2021-03-12,2021-12-21,25.0,Male,Petersonberg,1,2,0,2021-03-24,2021-07-22,,86,10,21.0,9.466666666666667,3578.2999999999997,377.9894366197183,5098.495336697856
51,2021-05-23,2023-03-03,60.0,Female,West Jonathanstad,1,0,1,2022-09-21,,2021-12-30,66,33,63.0,21.633333333333333,4365.53,201.79645608628658,2721.923394259252
52,2023-12-29,2024-03-06,43.0,Female,Port Andreatown,0,1,1,,2024-01-16,2024-01-27,10,6,4.0,2.2666666666666666,11384.81,5022.710294117647,7631.0
53,2023-10-14,2024-03-18,25.0,Male,Rothberg,0,0,0,,,,6,10,13.0,5.2,9628.54,1851.642307692308,24975.80290980335
54,2020-03-02,2020-08-29,55.0,Male,North Jose,0,0,0,,,,15,24,14.0,6.0,1241.29,206.88166666666666,2790.5150529628745
55,2020-01-30,2024-05-28,49.0,Female,Jefferyburgh,3,0,0,2024-05-24,,,307,70,58.0,52.666666666666664,8851.28,168.06227848101267,2266.9012943140015
56,2020-10-28,2022-09-10,46.0,Female,Brianaborough,2,0,0,2021-11-07,,,326,111,40.0,22.733333333333334,6958.43,306.08929618768326,4128.673179817168
57,2023-08-08,2024-04-13,65.0,Male,East Seantown,1,0,0,2023-10-14,,,41,40,7.0,8.3,860.73,103.70240963855422,1398.7857879701335
58,2023-09-29,2023-12-01,45.0,Male,Griffithbury,1,1,0,2023-11-23,2023-10-17,,18,7,4.0,2.1,6925.400000000001,3297.809523809524,7631.0
59,2024-04-20,2024-05-11,62.0,Male,Brianville,0,0,1,,,2024-04-24,8,2,1.0,0.7,7210.9400000000005,10301.34285714286,7631.0
60,2020-09-06,2023-09-03,37.0,Male,Valerieport,0,0,1,,,2021-02-03,316,102,69.04999999999927,36.4,5478.11,150.49752747252748,2029.9798556942296
61,2023-12-18,2024-01-25,38.0,Male,New Mollyville,1,1,1,2024-01-08,2024-01-21,2024-01-02,3,1,2.0,1.2666666666666666,924.27,729.6868421052632,7631.0
62,2023-09-12,2024-01-31,22.0,Female,Connershire,1,0,1,2023-12-16,,2023-10-18,25,17,6.0,4.7,8602.84,1830.391489361702,24689.16210013276
63,2024-02-11,2024-04-27,48.0,Male,East Edward,0,0,0,,,,8,6,1.0,2.533333333333333,7331.34,2893.9500000000003,7631.0
64,2022-04-05,2023-02-21,18.0,Male,Carlamouth,1,1,0,2022-04-24,2022-07-24,,128,31,30.0,10.733333333333333,5174.89,482.13260869565227,6503.226331104627
65,2022-06-30,2022-11-24,37.0,Female,Lake Mercedes,1,0,0,2022-09-14,,,11,10,2.0,4.9,11569.05,2361.030612244898,31846.666599951048
67,2020-08-03,2020-08-17,43.0,Female,Jenniferfurt,0,0,0,,,,2,1,1.0,0.4666666666666667,15292.880000000001,32770.45714285714,7631.0
68,2020-11-09,2023-06-29,41.0,Female,Haleview,0,2,0,,2022-02-01,,363,75,7.0,32.06666666666667,3169.9100000000003,98.8537422037422,1333.3847319865013
69,2021-04-12,2024-05-11,47.0,Female,Lake Megan,0,1,0,,2022-04-03,,363,139,29.0,37.5,4081.5,108.84,1468.0839692472152
70,2020-08-23,2023-12-13,68.0,Male,Rileyville,0,0,0,,,,316,139,69.04999999999927,40.233333333333334,226.44,5.628169014084507,75.9153317327395
71,2022-07-19,2023-11-10,43.0,Female,North Thomas,2,0,1,2023-09-12,,2022-12-16,238,35,14.0,15.966666666666667,6784.91,424.9421711899791,5731.815411439858
72,2021-11-26,2022-12-16,43.0,Female,Port Robert,0,0,0,,,,124,68,14.0,12.833333333333334,7506.780000000001,584.9438961038961,7889.992252656546
73,2020-07-10,2023-10-15,60.0,Male,East Steventown,1,0,0,2020-08-22,,,363,109,69.0,39.733333333333334,3164.0299999999997,79.63162751677852,1074.108009945314
74,2022-11-28,2022-12-25,21.0,Female,Mistyberg,0,0,0,,,,3,2,1.0,0.9,9972.81,11080.9,7631.0
75,2021-09-07,2022-04-14,31.0,Male,West Anthonyberg,0,0,0,,,,92,8,9.0,7.3,2635.9500000000003,361.0890410958905,4870.535030353966
76,2021-07-10,2023-10-25,52.0,Male,East Rebecca,0,0,1,,,2022-01-29,263,37,41.0,27.9,9890.4,354.494623655914,4781.586495530797
77,2024-02-19,2024-04-12,48.0,Female,Juliemouth,0,0,2,,,2024-03-25,3,3,3.0,1.7666666666666666,12818.82,7255.935849056604,7631.0
78,2020-08-08,2021-06-21,66.0,Female,Greeneberg,0,1,0,,2021-01-05,,62,2,29.0,10.566666666666666,1198.67,113.43880126182967,1530.1147153906
79,2022-12-09,2023-04-30,59.0,Female,Lake Marissaton,1,1,0,2023-01-02,2023-02-18,,2,14,4.0,4.733333333333333,13605.33,2874.3654929577465,38770.763524151385
80,2022-04-22,2023-07-03,18.0,Male,Stevenside,1,0,0,2022-08-13,,,42,69,3.0,14.566666666666666,7339.66,503.86681922196794,6796.387356995183
81,2023-08-07,2023-12-13,67.0,Female,Longton,0,0,1,,,2023-10-22,18,20,6.0,4.266666666666667,642.8199999999999,150.6609375,2032.1840052876387
82,2022-08-08,2024-04-21,19.0,Male,Port Stevenville,1,1,0,2023-09-28,2023-07-16,,43,52,23.0,20.733333333333334,4474.57,215.81527331189707,2911.0156474448954
83,2022-09-10,2023-08-26,24.0,Female,Smithfort,0,0,1,,,2022-10-22,117,45,5.0,11.666666666666666,12398.49,1062.7277142857142,14334.560097552294
84,2020-07-01,2023-07-19,43.0,Female,South Davidton,1,1,0,2021-12-02,2021-04-09,,363,139,69.0,37.1,7147.92,192.66630727762802,2598.771748698491
85,2021-10-15,2024-05-30,26.0,Female,Williamsside,1,0,0,2023-04-15,,,363,27,12.0,31.933333333333334,7772.73,243.40490605427973,3283.1573007571897
86,2022-11-18,2023-03-31,28.0,Female,East Brooke,0,1,0,,2023-03-17,,43,2,5.0,4.433333333333334,6615.32,1492.1774436090225,20127.17552586086
87,2020-08-29,2023-11-25,20.0,Male,East John,2,0,1,2022-10-03,,2023-03-16,363,127,33.0,39.43333333333333,7112.0,180.35502958579883,2432.711573943573
88,2022-12-27,2023-07-18,38.0,Male,East Noah,1,0,1,2023-03-02,,2023-02-14,31,20,15.0,6.766666666666667,6466.3,955.6108374384237,12889.718405753916
89,2023-03-27,2023-09-04,43.0,Female,Buckleychester,0,1,0,,2023-07-22,,25,2,10.0,5.366666666666666,8863.33,1651.5521739130436,22276.895175460566
90,2024-05-27,2024-05-31,60.0,Male,Jimenezland,1,0,0,2024-05-28,,,1,1,1.0,0.13333333333333333,10893.6,81702.0,7631.0
91,2023-09-01,2023-10-19,50.0,Female,Dawnhaven,0,0,0,,,,5,1,1.0,1.6,11747.54,7342.212500000001,7631.0
92,2022-08-16,2024-05-18,55.0,Male,Laneland,0,0,0,,,,134,4,15.0,21.366666666666667,2201.9300000000003,103.05444617784713,1390.045758851041
93,2023-10-11,2023-11-09,37.0,Female,Traceyborough,1,0,0,2023-10-12,,,8,3,1.0,0.9666666666666667,9176.13,9492.548275862067,7631.0
95,2021-01-08,2023-10-25,37.0,Male,East Joseph,0,1,0,,2023-01-12,,140,84,1.0,34.0,6221.22,182.97705882352943,2468.0787100223106
96,2022-06-05,2022-10-01,41.0,Female,Susanland,0,0,0,,,,51,9,4.0,3.933333333333333,549.0,139.5762711864407,1882.6689288507494
97,2020-01-12,2020-08-24,47.0,Male,Lake Katieborough,1,0,0,2020-06-22,,,35,7,8.0,7.5,1372.28,182.97066666666666,2467.9924896711605
98,2022-09-03,2023-08-22,65.0,Female,Kevinmouth,2,0,0,2023-06-01,,,101,29,23.0,11.766666666666667,6180.8,525.2804532577903,7085.224299767301
99,2021-07-20,2024-02-13,32.0,Female,Georgeberg,1,0,0,2021-12-22,,,216,136,47.0,31.266666666666666,4200.530000000001,134.34530916844352,1812.1113077338557
100,2022-08-29,2023-01-01,43.0,Male,Andrewton,1,1,1,2022-10-03,2022-10-22,2022-10-19,13,21,9.0,4.166666666666667,8771.16,2105.0784,28394.26546351136
101,2024-02-29,2024-03-07,46.0,Male,Johnville,0,1,0,,2024-03-03,,2,1,1.0,0.23333333333333334,1503.15,6442.071428571428,7631.0
102,2023-06-17,2023-09-17,43.0,Female,Williamston,0,0,0,,,,30,12,4.0,3.066666666666667,2789.71,909.6880434782609,7631.0
103,2022-11-03,2023-06-24,61.0,Male,Youngton,0,1,1,,2023-06-11,2023-05-19,80,43,20.0,7.766666666666667,3685.41,474.5163090128755,6400.494178685781
104,2021-06-06,2023-11-12,35.0,Female,New Michael,1,0,0,2022-01-24,,,282,100,6.0,29.633333333333333,1741.02,58.75208098987627,792.475085089594
105,2022-08-27,2022-11-04,66.0,Female,Lake Wendy,0,0,0,,,,19,8,4.0,2.3,7568.38,3290.6000000000004,7631.0
106,2022-10-17,2023-08-13,61.0,Male,Reidborough,0,2,0,,2023-06-01,,9,49,2.0,10.0,10941.8,1094.1799999999998,14758.802990361242
107,2022-09-23,2022-11-02,64.0,Male,Grayhaven,0,0,1,,,2022-09-28,4,3,2.0,1.3333333333333333,18327.14,13745.355,7631.0
108,2022-01-23,2023-02-27,29.0,Male,Chapmanchester,0,2,1,,2023-01-30,2022-09-21,13,8,35.0,13.333333333333334,8558.18,641.8635,8657.750044054666
109,2022-04-28,2022-10-27,61.0,Male,New Elizabeth,1,0,1,2022-08-08,,2022-10-05,10,19,6.0,6.066666666666666,11713.25,1930.7554945054947,26042.9179531376
110,2021-10-21,2024-03-30,58.0,Female,West Elizabethfort,0,1,0,,2023-01-14,,346,139,57.0,29.7,480.09000000000003,16.164646464646466,218.03618470503628
111,2020-06-05,2020-07-16,34.0,Female,Reynoldsmouth,0,1,2,,2020-06-23,2020-07-15,3,4,1.0,1.3666666666666667,11484.92,8403.6,7631.0
113,2024-03-17,2024-05-27,49.0,Female,Lake Ericchester,0,0,0,,,,1,3,5.0,2.3666666666666667,8800.98,3718.7239436619716,7631.0
114,2023-10-14,2024-04-18,28.0,Male,Port Joshuafort,1,0,0,2024-01-10,,,52,31,15.0,6.233333333333333,6447.64,1034.3807486631017,13952.203190097689
115,2024-03-20,2024-05-05,27.0,Male,North Brian,1,0,2,2024-04-12,,2024-04-02,2,2,1.0,1.5333333333333334,12171.37,7937.85,7631.0
116,2021-08-11,2023-06-07,68.0,Male,Allenshire,1,1,0,2023-04-24,2022-11-27,,165,46,40.0,22.166666666666668,8485.94,382.82436090225565,5163.711018723924
117,2023-01-14,2024-04-06,26.0,Female,North Christopher,0,2,0,,2023-08-01,,67,47,9.0,14.933333333333334,11315.19,757.7136160714286,10220.389682421936
118,2023-07-26,2023-10-30,54.0,Female,Sheenafurt,1,0,0,2023-09-28,,,25,9,6.0,3.2,1720.31,537.596875,7251.353859839203
119,2022-09-24,2024-02-21,68.0,Female,Jamesmouth,1,1,1,2023-09-29,2023-03-20,2023-07-09,102,3,10.0,17.166666666666668,10550.51,614.5928155339806,8289.910511759901
120,2020-06-24,2023-05-12,35.0,Male,Robertbury,1,0,0,2021-01-22,,,120,139,59.0,35.06666666666667,17513.77,499.44211026615966,6736.704847930439
121,2023-01-27,2023-05-05,64.0,Male,Jesusbury,0,0,0,,,,31,15,8.0,3.2666666666666666,13082.48,4004.8408163265303,7631.0
122,2023-02-18,2024-01-06,43.0,Male,North Hannahton,1,0,0,2023-05-22,,,141,60,16.0,10.733333333333333,12472.1,1161.996894409938,15673.548447246223
123,2023-03-06,2024-05-02,47.0,Male,North Kimberlyfurt,0,0,0,,,,201,54,13.0,14.1,13232.0,938.4397163120568,12658.106427991868
124,2022-11-23,2023-10-14,34.0,Female,Thompsonbury,2,0,0,2023-09-12,,,114,16,18.0,10.833333333333334,17223.38,1589.8504615384616,21444.634105888475
125,2022-08-03,2024-01-08,43.0,Female,Ritaland,1,0,2,2023-06-09,,2023-03-01,134,74,38.0,17.433333333333334,2088.2200000000003,119.78317399617592,1615.69053224307
126,2020-06-28,2024-01-27,50.0,Male,Port Timothy,1,0,0,2022-03-16,,,307,139,69.04999999999927,43.6,13091.32,300.2596330275229,4050.0400023866046
127,2023-02-06,2024-05-31,54.0,Female,Port Terri,0,1,0,,2023-02-23,,2,36,22.0,16.0,2740.68,171.2925,2310.47200755493
128,2020-01-18,2021-04-29,66.0,Male,West Erin,2,1,0,2020-09-10,2021-01-19,,171,4,45.0,15.566666666666666,2370.34,152.27023554603855,2053.8909573560886
129,2020-08-17,2022-04-03,43.0,Female,Escobarfort,2,0,1,2021-09-19,,2021-03-11,207,112,58.0,19.8,9421.71,475.8439393939393,6418.401867766315
130,2023-04-03,2024-04-01,47.0,Male,Waltersburgh,1,0,1,2024-01-02,,2023-12-22,174,3,31.0,12.133333333333333,13698.31,1128.9815934065934,15228.22288547774
131,2020-07-02,2024-03-02,64.0,Male,Jacksonstad,1,0,0,2024-01-27,,,142,74,20.0,44.63333333333333,8834.07,197.9253920836445,2669.70870291224
132,2021-07-09,2024-04-30,54.0,Male,Port Kristinamouth,0,0,1,,,2021-10-11,281,34,44.0,34.2,13623.68,398.353216374269,5373.171362156666
133,2022-08-22,2024-01-15,65.0,Male,North Kevin,0,0,0,,,,228,66,7.0,17.033333333333335,4812.54,282.53659491193736,3810.9835144791396
135,2020-07-27,2021-06-26,68.0,Male,Port Susan,1,0,1,2021-03-28,,2020-08-07,160,34,2.0,11.133333333333333,6227.77,559.3805389221558,7545.18193587362
136,2020-05-19,2022-01-30,63.0,Male,South Denise,0,1,1,,2020-06-16,2021-09-20,149,53,16.0,20.7,4267.75,206.17149758454107,2780.935965817307
137,2023-08-10,2024-04-07,25.0,Female,Ronaldhaven,1,1,0,2023-11-11,2023-11-10,,26,7,7.0,8.033333333333333,3222.88,401.1883817427386,5411.413376375843
138,2024-05-08,2024-05-18,18.0,Female,New Jane,2,1,0,2024-05-16,2024-05-08,,1,1,1.0,0.3333333333333333,4236.099999999999,12708.3,7631.0
139,2020-06-23,2023-09-20,55.0,Male,Kaylaberg,0,1,0,,2021-02-03,,203,95,59.0,39.46666666666667,674.16,17.081756756756754,230.40659005122097
140,2022-02-11,2022-06-06,24.0,Male,Jillfort,0,0,1,,,2022-03-29,42,20,6.0,3.8333333333333335,7549.070000000001,1969.3226086956522,7631.0
141,2021-05-01,2022-03-05,43.0,Male,New Cassie,1,0,0,2021-08-13,,,108,53,24.0,10.266666666666667,4257.5599999999995,414.6974025974025,5593.62926168417
142,2020-07-29,2023-08-02,66.0,Male,Michelleport,1,0,0,2021-01-21,,,363,96,48.0,36.63333333333333,9921.34,270.8282074613285,3653.0554005322983
143,2021-05-30,2022-10-19,21.0,Male,Haysstad,1,0,0,2022-09-15,,,218,10,6.0,16.9,5802.79,343.36035502958583,4631.402360290034
144,2023-07-03,2023-12-18,67.0,Male,West Kathryn,0,0,0,,,,83,8,5.0,5.6,9284.92,1658.0214285714287,22364.155457130477
145,2023-06-16,2024-03-24,21.0,Male,Wilsonmouth,0,0,1,,,2023-07-13,117,9,3.0,9.4,2317.91,246.58617021276592,3326.0676546070085
146,2024-02-19,2024-03-15,60.0,Female,Anneton,0,0,0,,,,2,1,1.0,0.8333333333333334,10947.08,13136.496,7631.0
147,2024-04-10,2024-04-15,43.0,Male,South Amanda,0,0,1,,,2024-04-14,1,1,1.0,0.16666666666666666,2056.86,12341.160000000002,7631.0
148,2022-03-04,2024-04-13,22.0,Male,Jeremyberg,0,0,0,,,,187,139,8.0,25.7,1838.93,71.55369649805448,965.1491617895477
149,2023-08-12,2024-05-30,43.0,Male,New Andrewstad,0,0,0,,,,25,14,18.0,9.733333333333333,1120.66,115.13630136986303,1553.0113774302838
150,2023-12-03,2024-04-01,62.0,Male,Port Manuelstad,2,0,0,2024-03-06,,,1,17,5.0,4.0,12980.57,3245.1425,43771.974294127445
151,2021-01-07,2022-09-19,21.0,Female,South Andrew,0,0,1,,,2021-12-04,231,56,28.0,20.666666666666668,8553.48,413.878064516129,5582.57765287756
152,2020-02-13,2022-12-18,49.0,Female,Port Melissa,1,1,0,2021-08-27,2020-11-06,,363,104,69.04999999999927,34.63333333333333,7190.6900000000005,207.6233878729548,2800.5197296681513
153,2022-05-06,2023-11-23,59.0,Male,Hamiltonbury,1,2,0,2023-07-02,2023-10-31,,193,100,14.0,18.866666666666667,12933.34,685.5127208480566,9246.510806615886
154,2023-10-14,2023-11-11,51.0,Female,North Michael,1,0,1,2023-11-03,,2023-11-07,1,1,1.0,0.9333333333333333,8177.24,8761.32857142857,7631.0
155,2023-06-17,2023-12-29,24.0,Female,West Kimberly,0,0,0,,,,19,36,7.0,6.5,10486.58,1613.32,21761.202032946683
156,2023-07-02,2023-07-04,43.0,Male,Jennyland,0,1,0,,2023-07-02,,1,1,1.0,0.06666666666666667,14758.59,221378.85,7631.0
157,2022-08-14,2022-12-09,43.0,Female,Perezborough,1,1,1,2022-12-04,2022-10-14,2022-12-03,19,12,8.0,3.9,14982.85,3841.7564102564106,7631.0
158,2023-08-21,2024-01-28,60.0,Female,Burnston,0,0,0,,,,67,9,4.0,5.333333333333333,13787.39,2585.135625,34869.498064979605
159,2022-03-27,2023-08-20,53.0,Female,Victorchester,0,0,0,,,,24,8,3.0,17.033333333333335,10889.130000000001,639.2835616438356,8622.950649141665
160,2020-04-12,2023-03-10,39.0,Female,West John,1,0,0,2020-09-12,,,87,85,24.0,35.4,1706.63,48.20988700564972,650.2771248825246
161,2022-05-12,2023-07-06,52.0,Male,West Jenniferborough,0,1,0,,2023-05-09,,165,40,9.0,14.0,4916.35,351.16785714285714,4736.713539014377
162,2022-11-06,2023-12-25,67.0,Female,Stonemouth,1,2,1,2023-01-28,2023-07-07,2023-09-05,82,76,6.0,13.8,10525.31,762.7036231884057,10287.697193032589
163,2021-06-09,2024-02-20,48.0,Male,Oneillview,0,1,0,,2023-04-28,,159,123,22.0,32.86666666666667,9899.17,301.19178498985804,4062.6132966975797
164,2021-10-27,2021-11-21,60.0,Male,Port Stephenland,0,0,0,,,,2,4,1.0,0.8333333333333334,2660.63,3192.756,7631.0
165,2023-06-09,2023-06-23,39.0,Female,North Joseph,1,1,1,2023-06-18,2023-06-13,2023-06-12,5,1,1.0,0.4666666666666667,12416.58,26606.957142857143,7631.0
166,2022-05-26,2022-07-21,53.0,Female,New Janice,0,1,0,,2022-06-12,,18,8,1.0,1.8666666666666667,169.78,90.95357142857142,1226.8235957374793
167,2023-08-26,2024-02-03,54.0,Male,Crawfordberg,1,1,0,2023-09-25,2023-12-21,,2,16,8.0,5.366666666666666,11169.97,2081.3608695652174,28074.352506680814
168,2023-08-26,2023-11-06,67.0,Female,West Justinbury,0,0,2,,,2023-09-17,34,6,4.0,2.4,3940.59,1641.9125000000001,7631.0
169,2023-06-13,2023-09-18,43.0,Male,East Virginia,0,0,2,,,2023-08-16,40,5,1.0,3.2333333333333334,14318.18,4428.303092783505,7631.0
170,2020-04-05,2023-07-22,55.0,Female,Chelseaview,1,0,0,2023-03-13,,,363,139,69.04999999999927,40.1,12608.960000000001,314.43790523690774,4241.28305771756
171,2020-09-11,2020-12-20,43.0,Female,Jerryhaven,0,0,0,,,,41,8,7.0,3.3333333333333335,3652.72,1095.8159999999998,7631.0
172,2021-10-02,2022-06-03,33.0,Female,North Kellyfort,0,1,1,,2022-02-25,2021-12-25,39,4,20.0,8.133333333333333,9267.369999999999,1139.4307377049179,15369.16574873317
173,2023-03-30,2023-09-20,41.0,Female,West Theresachester,0,0,1,,,2023-06-28,12,27,1.0,5.8,9844.17,1697.2706896551724,22893.567539102572
175,2020-10-09,2022-08-09,18.0,Female,North Paul,0,1,1,,2021-12-02,2020-10-17,133,79,6.0,22.3,7633.89,342.3269058295964,4617.462722256813
176,2021-05-07,2023-06-21,43.0,Female,Lake Christina,0,0,0,,,,15,27,69.04999999999927,25.833333333333332,7278.34,281.7421935483871,3800.268263588141
177,2020-01-14,2021-01-28,63.0,Male,East James,0,0,0,,,,105,42,12.0,12.666666666666666,5579.57,440.4923684210526,5941.563622332649
